,0-media,0-std,0-min,0-25,0-mediana,0-75,0-max,1-media,1-std,1-min,1-25,1-mediana,1-75,1-max,2-media,2-std,2-min,2-25,2-mediana,2-75,2-max,3-media,3-std,3-min,3-25,3-mediana,3-75,3-max,4-media,4-std,4-min,4-25,4-mediana,4-75,4-max,5-media,5-std,5-min,5-25,5-mediana,5-75,5-max,6-media,6-std,6-min,6-25,6-mediana,6-75,6-max,7-media,7-std,7-min,7-25,7-mediana,7-75,7-max,8-media,8-std,8-min,8-25,8-mediana,8-75,8-max,9-media,9-std,9-min,9-25,9-mediana,9-75,9-max,10-media,10-std,10-min,10-25,10-mediana,10-75,10-max,11-media,11-std,11-min,11-25,11-mediana,11-75,11-max,12-media,12-std,12-min,12-25,12-mediana,12-75,12-max,13-media,13-std,13-min,13-25,13-mediana,13-75,13-max,14-media,14-std,14-min,14-25,14-mediana,14-75,14-max,15-media,15-std,15-min,15-25,15-mediana,15-75,15-max,Target,Position_right,Position_top
Cheez-100_432-top-0,2304.4575,3380.5323190429576,0.0,0.0,0.0,5062.75,8888.0,1.2425,9.515516611880711,0.0,0.0,0.0,0.0,114.0,3.07,21.04012397878411,0.0,0.0,0.0,0.0,218.0,2.3025,18.729200493556064,0.0,0.0,0.0,0.0,200.0,132.285,237.40202838793556,0.0,0.0,0.0,125.0,1381.0,8.4775,30.834581597708922,0.0,0.0,0.0,0.0,222.0,4.1675,19.270647066091527,0.0,0.0,0.0,0.0,168.0,4.7875,22.864805752624868,0.0,0.0,0.0,0.0,179.0,1954.5475,2697.99953325558,0.0,0.0,0.0,4862.5,6781.0,2.1075,17.976479864556495,0.0,0.0,0.0,0.0,239.0,2.75,18.182519353078185,0.0,0.0,0.0,0.0,158.0,2.495,14.679191792438687,0.0,0.0,0.0,0.0,121.0,3.705,22.517227601263833,0.0,0.0,0.0,0.0,144.0,0.6425,8.058662970504452,0.0,0.0,0.0,0.0,116.0,12.925,55.974970910408416,0.0,0.0,0.0,0.0,306.0,1.1875,11.087591282651422,0.0,0.0,0.0,0.0,111.0,Cheez,0,1
Cheez-100_432-top-1,47.2575,136.40317356332122,0.0,0.0,0.0,0.0,795.0,2.56,16.178558786586244,0.0,0.0,0.0,0.0,159.0,4.615,27.863465447910812,0.0,0.0,0.0,0.0,236.0,1.57,14.311609112481785,0.0,0.0,0.0,0.0,169.0,15.4875,94.00298530827227,0.0,0.0,0.0,0.0,1276.0,6.635,25.556106147132617,0.0,0.0,0.0,0.0,200.0,7.43,28.286045161478498,0.0,0.0,0.0,0.0,189.0,8.135,31.510618411603854,0.0,0.0,0.0,0.0,200.0,408.5775,1075.2372164657077,0.0,0.0,0.0,0.0,4037.0,701.8,3425.6369248436117,0.0,0.0,0.0,0.0,18844.0,12.1775,48.897017183808956,0.0,0.0,0.0,0.0,265.0,2.225,13.563713015872228,0.0,0.0,0.0,0.0,133.0,2.3525,18.248033333797338,0.0,0.0,0.0,0.0,151.0,1.3075,11.252978163306826,0.0,0.0,0.0,0.0,111.0,7.735,43.881759274127745,0.0,0.0,0.0,0.0,306.0,1.7525,13.173081223552241,0.0,0.0,0.0,0.0,111.0,Cheez,0,1
Cheez-100_432-top-2,1454.9525,2082.0909218284996,0.0,0.0,0.0,3568.0,6061.0,2.6425,16.019558651801155,0.0,0.0,0.0,0.0,159.0,5.445,34.029796393844585,0.0,0.0,0.0,0.0,255.0,2.9925,21.39279254051953,0.0,0.0,0.0,0.0,216.0,437.9225,740.4139406457098,0.0,0.0,0.0,526.75,2431.0,5.305,24.27137664638689,0.0,0.0,0.0,0.0,211.0,3.265,16.73828547077785,0.0,0.0,0.0,0.0,146.0,3.9225,20.039347103406882,0.0,0.0,0.0,0.0,189.0,1692.7975,2391.138383367808,0.0,0.0,0.0,4304.0,7363.0,1.2875,11.617325396726752,0.0,0.0,0.0,0.0,118.0,3.8725,28.823136135606795,0.0,0.0,0.0,0.0,301.0,1.8375,14.002903163004461,0.0,0.0,0.0,0.0,157.0,2.23,18.097954023856463,0.0,0.0,0.0,0.0,151.0,0.9625,9.621982650437156,0.0,0.0,0.0,0.0,111.0,9.8875,50.50655525830449,0.0,0.0,0.0,0.0,306.0,1.0375,10.41211429346364,0.0,0.0,0.0,0.0,111.0,Cheez,0,1
Cheez-100_432-top-3,217.61,356.9755197548702,0.0,0.0,0.0,421.0,1540.0,2.055,15.29679557578049,0.0,0.0,0.0,0.0,168.0,4.6625,29.90358095839572,0.0,0.0,0.0,0.0,236.0,3.7675,25.164888690535154,0.0,0.0,0.0,0.0,216.0,160.4925,365.9139824468678,0.0,0.0,0.0,31.0,1582.0,3.6575,18.638365416890302,0.0,0.0,0.0,0.0,200.0,4.315,23.106829920446316,0.0,0.0,0.0,0.0,211.0,5.8675,27.235719281155575,0.0,0.0,0.0,0.0,243.0,1167.4275,1735.925244900675,0.0,0.0,0.0,3548.0,5948.0,1.8025,14.179426437102915,0.0,0.0,0.0,0.0,133.0,4.38,26.66764910470996,0.0,0.0,0.0,0.0,319.0,3.1625,19.39656310795808,0.0,0.0,0.0,0.0,219.0,1.7025,14.95168471911608,0.0,0.0,0.0,0.0,151.0,2.48,15.649340389824442,0.0,0.0,0.0,0.0,111.0,11.23,53.334684506693904,0.0,0.0,0.0,0.0,306.0,0.58,7.845219478872419,0.0,0.0,0.0,0.0,111.0,Cheez,0,1
Cheez-100_432-top-4,55.98,141.63994593939344,0.0,0.0,0.0,0.0,657.0,2.65,16.380271157951654,0.0,0.0,0.0,0.0,159.0,4.115,25.466903678252358,0.0,0.0,0.0,0.0,236.0,3.4125,23.266729368106553,0.0,0.0,0.0,0.0,200.0,21.725,88.4618738939666,0.0,0.0,0.0,0.0,959.0,10.895,32.878282019768434,0.0,0.0,0.0,0.0,200.0,7.77,27.744305112318287,0.0,0.0,0.0,0.0,189.0,7.035,28.864192853303294,0.0,0.0,0.0,0.0,265.0,333.835,872.0950735546487,0.0,0.0,0.0,0.0,4560.0,0.735,8.487925966809891,0.0,0.0,0.0,0.0,103.0,10.455,44.20909505082663,0.0,0.0,0.0,0.0,373.0,3.29,19.75935170874472,0.0,0.0,0.0,0.0,145.0,1.8475,15.66053558109423,0.0,0.0,0.0,0.0,151.0,1.97,13.78019718968006,0.0,0.0,0.0,0.0,111.0,14.975,63.55393088020471,0.0,0.0,0.0,0.0,306.0,2.0475,14.670832528103743,0.0,0.0,0.0,0.0,116.0,Cheez,0,1
Cheez-100_432-top-5,1016.725,1489.0943672115518,0.0,0.0,0.0,2632.25,4741.0,2.355,14.400778835802473,0.0,0.0,0.0,0.0,105.0,2.9025,24.876597567117155,0.0,0.0,0.0,0.0,236.0,0.955,11.585920718580887,0.0,0.0,0.0,0.0,200.0,387.605,608.7326857346385,0.0,0.0,0.0,671.0,1749.0,4.745,20.43989844939437,0.0,0.0,0.0,0.0,136.0,6.005,25.023998005724113,0.0,0.0,0.0,0.0,168.0,3.3725,17.92685622705404,0.0,0.0,0.0,0.0,179.0,1443.72,2050.9172717931274,0.0,0.0,0.0,3036.0,5746.0,1.765,12.77410346357999,0.0,0.0,0.0,0.0,118.0,3.5,22.73934243190838,0.0,0.0,0.0,0.0,229.0,2.68,16.982302449645335,0.0,0.0,0.0,0.0,182.0,2.265,17.980768757558245,0.0,0.0,0.0,0.0,151.0,1.8775,13.509394995070362,0.0,0.0,0.0,0.0,111.0,3.57,28.624176121708963,0.0,0.0,0.0,0.0,306.0,0.8025,9.246471588779327,0.0,0.0,0.0,0.0,111.0,Cheez,0,1
Cheez-100_432-top-6,1079.9425,1630.880646583999,0.0,0.0,0.0,2425.5,5564.0,1.875,12.724352552081939,0.0,0.0,0.0,0.0,114.0,1.585,15.826844205138759,0.0,0.0,0.0,0.0,218.0,5.8425,31.36602081719572,0.0,0.0,0.0,0.0,216.0,381.2325,549.6749720343394,0.0,0.0,5.0,745.0,1596.0,9.155,28.667936819795052,0.0,0.0,0.0,0.0,189.0,8.78,31.104264791513046,0.0,0.0,0.0,0.0,331.0,10.0175,33.70946475078543,0.0,0.0,0.0,0.0,254.0,963.56,1319.8013393455656,0.0,0.0,0.0,2629.25,3306.0,1.255,13.839392941617067,0.0,0.0,0.0,0.0,239.0,2.4025,17.552798797172947,0.0,0.0,0.0,0.0,176.0,2.895,17.524318227061123,0.0,0.0,0.0,0.0,133.0,1.0625,12.241250519686062,0.0,0.0,0.0,0.0,144.0,1.6375,12.606084927247673,0.0,0.0,0.0,0.0,116.0,7.77,44.5400003263658,0.0,0.0,0.0,0.0,320.0,1.1225,11.059759919351029,0.0,0.0,0.0,0.0,111.0,Cheez,0,1
Cheez-100_432-top-7,1206.47,2071.918628011902,0.0,0.0,0.0,1279.0,6241.0,0.43,4.498409632643275,0.0,0.0,0.0,0.0,61.0,5.2075,31.281396358624292,0.0,0.0,0.0,0.0,236.0,4.4975,27.65586938660269,0.0,0.0,0.0,0.0,200.0,159.82,432.22859866482787,0.0,0.0,0.0,12.5,2155.0,3.575,17.494986750595388,0.0,0.0,0.0,0.0,136.0,3.21,21.606550106826447,0.0,0.0,0.0,0.0,243.0,2.62,15.696226579087615,0.0,0.0,0.0,0.0,157.0,1187.355,1705.7553333106619,0.0,0.0,0.0,2751.25,4959.0,2.5,15.36963122230896,0.0,0.0,0.0,0.0,118.0,3.11,22.490719890723945,0.0,0.0,0.0,0.0,265.0,2.015,14.588929610081719,0.0,0.0,0.0,0.0,157.0,1.0975,12.644274908824212,0.0,0.0,0.0,0.0,151.0,2.37,15.333325705566276,0.0,0.0,0.0,0.0,116.0,10.5625,49.660007900842906,0.0,0.0,0.0,0.0,320.0,0.645,7.534646790370364,0.0,0.0,0.0,0.0,105.0,Cheez,0,1
Cheez-100_432-top-8,194.8625,609.4055269970709,0.0,0.0,0.0,3.75,3199.0,2.47,16.149182339225955,0.0,0.0,0.0,0.0,132.0,2.4475,21.152442134909,0.0,0.0,0.0,0.0,292.0,4.845,27.16746496974291,0.0,0.0,0.0,0.0,200.0,18.0575,72.91547063823931,0.0,0.0,0.0,0.0,487.0,3.4725,18.815133986163683,0.0,0.0,0.0,0.0,200.0,3.65,21.604847223687965,0.0,0.0,0.0,0.0,298.0,4.275,23.957447134095037,0.0,0.0,0.0,0.0,243.0,293.655,686.3142750850142,0.0,0.0,0.0,0.0,3143.0,1.025,8.77649943632936,0.0,0.0,0.0,0.0,118.0,2.7075,18.17147351963205,0.0,0.0,0.0,0.0,176.0,3.405,19.06238209216172,0.0,0.0,0.0,0.0,170.0,1.115,12.456109410812594,0.0,0.0,0.0,0.0,144.0,3.1025,18.329400181881805,0.0,0.0,0.0,0.0,116.0,6.9375,40.80319651528127,0.0,0.0,0.0,0.0,306.0,1.3275,11.775691530758069,0.0,0.0,0.0,0.0,111.0,Cheez,0,1
Cheez-100_432-top-9,112.5975,281.67500335055007,0.0,0.0,0.0,0.0,1371.0,1.5625,11.030651927918278,0.0,0.0,0.0,0.0,123.0,4.1725,29.17706284464887,0.0,0.0,0.0,0.0,236.0,2.685,18.59071843770633,0.0,0.0,0.0,0.0,216.0,60.245,213.35904052896223,0.0,0.0,0.0,10.0,1302.0,13.17,36.859294879956856,0.0,0.0,0.0,0.0,342.0,13.2975,35.98905422221477,0.0,0.0,0.0,0.0,342.0,13.03,36.824029149551556,0.0,0.0,0.0,0.0,232.0,492.075,1084.0606870965687,0.0,0.0,0.0,0.0,4388.0,1.465,11.155711530394273,0.0,0.0,0.0,0.0,118.0,3.59,21.819305792420604,0.0,0.0,0.0,0.0,229.0,2.1325,13.547463902719644,0.0,0.0,0.0,0.0,157.0,2.0325,20.13093589976621,0.0,0.0,0.0,0.0,310.0,1.405,11.37274475701762,0.0,0.0,0.0,0.0,111.0,4.4625,30.923360576161567,0.0,0.0,0.0,0.0,306.0,2.5125,15.862657517224813,0.0,0.0,0.0,0.0,111.0,Cheez,0,1
Cheez-100_50-right-0,1180.245,2118.9191539384724,0.0,0.0,0.0,878.25,7593.0,3.1675,21.019848449074196,0.0,0.0,0.0,0.0,232.0,2.76,21.54909065994839,0.0,0.0,0.0,0.0,236.0,0.84,10.173157466199022,0.0,0.0,0.0,0.0,185.0,143.285,241.50165921481346,0.0,0.0,0.0,256.0,1302.0,4.6425,26.65945442099403,0.0,0.0,0.0,0.0,264.0,4.285,45.19857356854948,0.0,0.0,0.0,0.0,626.0,14.945,100.26569702545359,0.0,0.0,0.0,0.0,925.0,29.8975,44.98651420036654,0.0,0.0,0.0,83.0,211.0,1.655,11.103341184691226,0.0,0.0,0.0,0.0,94.0,1.57,9.370678954064635,0.0,0.0,0.0,0.0,94.0,0.7725,6.27608291787005,0.0,0.0,0.0,0.0,72.0,3.8925,21.315530096816026,0.0,0.0,0.0,0.0,137.0,5.1225,22.123995382371582,0.0,0.0,0.0,0.0,215.0,11.33,51.22441754067052,0.0,0.0,0.0,0.0,306.0,2.21,13.264265975910565,0.0,0.0,0.0,0.0,105.0,Cheez,1,0
Cheez-100_50-right-1,1582.425,2572.908244859515,0.0,0.0,0.0,2986.0,7696.0,2.28,16.959382407065107,0.0,0.0,0.0,0.0,232.0,3.9,27.459699337744116,0.0,0.0,0.0,0.0,348.0,4.3525,28.802990720341636,0.0,0.0,0.0,0.0,407.0,110.1875,173.0430642903595,0.0,0.0,0.0,267.0,657.0,23.975,220.37615228567887,0.0,0.0,0.0,0.0,2852.0,3.0025,26.27886871809286,0.0,0.0,0.0,0.0,435.0,7.915,60.15933542766012,0.0,0.0,0.0,0.0,795.0,39.765,54.86958587080891,0.0,0.0,0.0,104.0,232.0,1.8875,11.070285534009917,0.0,0.0,0.0,0.0,94.0,2.3275,13.38387327755966,0.0,0.0,0.0,0.0,189.0,1.66,11.191627733637276,0.0,0.0,0.0,0.0,94.0,2.4225,17.33566575062938,0.0,0.0,0.0,0.0,137.0,6.2875,22.12348220584363,0.0,0.0,0.0,0.0,105.0,11.06,50.31625695822094,0.0,0.0,0.0,0.0,306.0,1.495,11.281762735763705,0.0,0.0,0.0,0.0,105.0,Cheez,1,0
Cheez-100_50-right-2,1133.835,1975.4171838882535,0.0,0.0,0.0,1228.5,6930.0,2.485,14.627703143286698,0.0,0.0,0.0,0.0,105.0,3.03,21.919860874373388,0.0,0.0,0.0,0.0,218.0,2.37,16.479898897419574,0.0,0.0,0.0,0.0,185.0,90.5675,157.46761752873212,0.0,0.0,0.0,143.0,744.0,23.6,222.3897659966638,0.0,0.0,0.0,0.0,2811.0,11.4375,71.33138516827682,0.0,0.0,0.0,0.0,641.0,1.485,16.377739492286217,0.0,0.0,0.0,0.0,257.0,41.1925,58.67454472978969,0.0,0.0,0.0,94.0,200.0,2.13,13.336519669397703,0.0,0.0,0.0,0.0,157.0,2.7175,14.081313939247314,0.0,0.0,0.0,0.0,94.0,1.3225,9.582434522523293,0.0,0.0,0.0,0.0,94.0,2.6075,18.189849375427823,0.0,0.0,0.0,0.0,137.0,3.535,17.858221220572542,0.0,0.0,0.0,0.0,111.0,6.1525,38.26008139459188,0.0,0.0,0.0,0.0,292.0,2.6125,15.205768057073378,0.0,0.0,0.0,0.0,111.0,Cheez,1,0
