,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Target,Position_right,Position_top
Cheez-100_50-top-2,809.975,1.4125,3.625,15.02,1085.0425,2.745,4.5975,4.6475,1131.5325,2.465,3.065,3.0975,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-3,5279.3925,3.54,4.4875,9.7225,170.31,1.3825,6.765,1.58,1486.75,4.0175,1.6525,1.26,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-4,1174.285,3.08,3.665,3.9575,83.08,1.88,3.815,4.2275,1291.66,2.465,5.6925,3.0,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-5,1052.7375,1.62,2.89,4.76,165.765,0.8175,6.3975,2.255,575.65,1.805,2.5925,1.8925,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-6,1114.5925,1.835,4.3525,4.2725,62.485,1.6575,4.2625,2.765,198.2375,2.5725,2.405,0.84,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-7,942.66,3.6775,3.9475,4.84,78.64,1.1475,3.47,5.5975,257.6125,3.17,3.15,2.1025,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-8,875.2025,3.0825,4.4125,1.57,102.0725,1.1575,4.78,7.5525,253.49,1.3625,4.205,2.28,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_50-top-9,781.8575,3.14,4.9325,1.38,196.765,1.7275,4.29,2.47,207.405,1.105,1.8325,2.1375,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-100_814-right-0,656.5325,2.095,0.765,3.5775,1038.5675,1.5,5.405,3.1725,566.1125,2.055,2.405,0.87,7.5075,6.11,10.505,11.945,Cheez,1,0
Cheez-100_814-right-1,88.1225,1.8325,5.7475,1.6075,613.06,3.305,6.0325,2.5275,220.55,2.76,7.255,1.05,12.15,6.7075,13.6575,2.585,Cheez,1,0
Cheez-100_814-right-2,422.785,2.2525,2.4825,162.135,952.3525,1.48,3.7325,3.3475,511.0475,2.6875,5.675,2.8525,9.7125,4.0775,10.6175,6.865,Cheez,1,0
Cheez-100_814-right-3,429.73,1.5675,3.4375,3.72,968.1825,2.11,3.835,2.5825,311.5925,421.3025,1.87,1.8,8.565,3.54,11.15,4.5025,Cheez,1,0
Cheez-100_814-right-4,388.625,1.545,3.935,31.36,1041.9125,2.4575,4.115,3.455,275.705,327.07,7.725,1.9525,11.4225,6.4825,11.155,5.165,Cheez,1,0
Cheez-100_814-right-5,624.2675,2.6875,5.47,41.2575,1384.3425,0.7125,2.6925,2.275,573.885,1.685,3.0075,1.41,6.1425,8.4325,8.5125,10.745,Cheez,1,0
Cheez-100_814-right-6,229.555,1.6575,1.54,4.06,746.5425,1.8125,5.085,3.2875,231.185,636.525,4.975,0.9,5.85,4.5175,12.955,3.1025,Cheez,1,0
Cheez-100_814-right-7,376.8525,1.63,3.4375,36.0975,735.62,3.6675,4.8775,2.46,384.195,2.3175,3.885,2.3125,36.5525,6.46,8.57,28.0975,Cheez,1,0
Cheez-100_814-right-8,283.2,1.6825,4.6575,3.215,700.125,2.06,3.3025,1.925,595.97,287.2075,3.1375,2.25,8.7075,3.72,10.355,4.8275,Cheez,1,0
Cheez-100_814-right-9,360.73,2.6375,4.715,3.7575,914.7575,2.4625,3.3775,1.7025,331.73,0.51,2.095,1.65,6.9625,4.8975,11.7475,3.635,Cheez,1,0
Cheez-100_814-top-0,27.925,1.7875,3.0775,2.3025,165.055,22.0425,19.88,18.2875,223.36,802.9625,13.6325,2.9475,10.17,4.24,11.71,3.3075,Cheez,0,1
Cheez-100_814-top-1,356.0925,2.4,2.9025,1.6475,509.145,15.915,19.7925,14.6225,108.48,413.965,9.475,2.5525,7.215,6.565,14.1,3.605,Cheez,0,1
Cheez-100_814-top-2,493.565,1.6675,2.8,1.8425,463.04,18.3675,14.8825,19.7675,86.55,857.325,16.4025,2.495,9.375,5.6475,16.345,3.09,Cheez,0,1
Cheez-100_814-top-3,261.8575,1.42,4.3475,1.845,501.635,15.8825,17.11,15.7375,106.325,898.8,11.165,2.6825,7.1575,7.2525,6.485,3.875,Cheez,0,1
Cheez-100_814-top-4,554.8075,1.53,6.0575,2.0725,602.9375,20.6925,17.2475,18.23,393.145,774.765,12.6575,1.2625,7.3425,8.2475,15.32,3.4675,Cheez,0,1
Cheez-100_814-top-5,130.27,1.7925,2.035,2.6875,892.24,16.035,11.5575,22.1575,60.22,881.5175,12.31,3.1875,7.7525,6.1625,13.8275,2.4675,Cheez,0,1
Cheez-100_814-top-6,350.635,1.9625,2.7575,4.1025,803.2825,17.9775,18.7425,17.6325,326.7375,1353.5525,24.075,4.3375,7.0725,3.955,14.0975,3.1725,Cheez,0,1
Cheez-100_814-top-7,90.0975,1.5325,3.2175,3.145,480.5025,11.7975,16.11,13.4,96.3725,476.2975,11.9025,2.3775,8.8325,3.3975,11.1675,3.6025,Cheez,0,1
Cheez-100_814-top-8,453.6075,2.4925,2.125,4.57,277.81,18.04,20.0275,21.0975,69.8575,739.34,16.025,3.22,6.7425,4.4425,9.74,3.3325,Cheez,0,1
Cheez-100_814-top-9,346.8625,2.8825,7.08,1.99,737.7125,15.23,18.2625,19.355,159.92,853.86,17.445,0.69,5.825,3.6825,7.07,3.4725,Cheez,0,1
Cheez-150_432-right-0,1929.445,3.0375,5.72,4.8,848.34,17.3625,18.095,20.8875,718.78,2.015,1.435,3.8475,3.5775,1.77,10.2775,2.8825,Cheez,1,0
Cheez-150_432-right-1,2688.585,2.2025,3.7575,1.5725,958.815,13.27,11.68,14.555,1020.2075,3.605,3.7925,3.15,1.3425,2.5275,3.7125,1.9975,Cheez,1,0
Cheez-150_432-right-2,4276.27,1.655,6.25,1.8,1040.355,13.495,13.845,17.195,915.9175,1.2075,2.3025,3.4225,0.395,2.895,3.3075,0.9425,Cheez,1,0
Cheez-150_432-right-3,2162.1975,1.855,2.1225,3.69,851.4575,15.26,19.0,19.4875,1476.7375,2.6475,2.1375,3.33,0.0875,1.445,8.2875,2.075,Cheez,1,0
Cheez-150_432-right-4,3645.705,1.505,5.025,4.3,954.98,13.135,12.64,20.5125,1074.5625,1.91,3.2825,2.0725,1.185,1.8925,3.855,2.3875,Cheez,1,0
Cheez-150_432-right-5,4112.1275,2.885,4.2625,4.5325,976.3075,9.94,17.1425,16.9175,992.9475,1.73,3.4875,128.0825,1.8,1.815,8.1625,1.91,Cheez,1,0
Cheez-150_432-right-6,3184.27,2.2025,3.665,7.3425,555.0525,12.69,20.235,15.315,209.96,1.7975,3.8375,2.19,1.3475,2.74,9.8275,1.8125,Cheez,1,0
Cheez-150_432-right-7,3065.6825,1.9825,1.5775,2.915,659.4075,15.02,16.4575,23.4025,564.9375,1.1,2.345,2.1,1.5625,2.4575,11.935,1.4775,Cheez,1,0
Cheez-150_432-right-8,2456.6625,4.865,5.22,2.605,998.6,14.66,17.815,24.46,1137.45,1.91,2.2175,1.8925,0.3775,3.4275,10.675,1.5225,Cheez,1,0
Cheez-150_432-right-9,3441.4675,3.3725,4.5775,4.405,916.6425,17.0875,13.965,13.8575,917.2275,1.5775,2.8325,2.88,1.2725,1.06,9.02,2.92,Cheez,1,0
Cheez-150_432-top-0,1536.3525,3.985,4.5275,4.1825,463.415,12.7475,9.55,14.8475,2042.1225,2.915,3.4575,2.7175,2.12,2.655,5.9525,1.9325,Cheez,0,1
Cheez-150_432-top-1,2165.13,3.2175,3.0375,4.6525,549.13,10.125,9.415,9.2525,1133.39,2.65,3.065,3.495,0.8425,1.4125,6.43,0.5525,Cheez,0,1
Cheez-150_432-top-2,1348.905,2.075,6.88,2.1875,480.2175,10.795,5.755,9.3,867.9525,1.77,2.4525,2.795,3.385,1.6125,8.745,1.965,Cheez,0,1
Cheez-150_432-top-3,1879.5375,2.8625,3.21,5.3725,519.355,9.0225,9.2175,7.115,1710.7125,2.315,2.225,2.9825,0.4825,0.775,11.1125,1.6425,Cheez,0,1
Cheez-150_432-top-4,1225.595,2.7575,5.27,3.69,409.3575,9.57,8.11,6.745,843.695,1.5025,2.4525,2.1925,3.0225,2.6,7.83,3.245,Cheez,0,1
Cheez-150_432-top-5,2762.395,2.245,5.4875,3.49,568.1525,12.4275,5.57,7.81,2448.655,2.645,3.76,1.32,1.4575,3.14,12.74,1.315,Cheez,0,1
Cheez-150_432-top-6,2204.4375,2.6025,7.0375,4.275,501.9375,9.7975,8.5425,10.47,1892.3,2.8025,3.4875,3.9725,3.6825,2.03,10.5625,0.58,Cheez,0,1
Cheez-150_432-top-7,1630.505,2.235,4.3075,2.7675,525.17,5.1525,6.5025,7.4875,1227.2075,1.4325,4.3375,2.4925,1.8525,1.605,10.015,1.7425,Cheez,0,1
Cheez-150_432-top-8,1656.92,2.5775,3.675,1.6125,364.7925,10.985,11.075,12.5525,1274.89,2.3325,4.3825,4.145,1.475,2.1075,10.22,1.6975,Cheez,0,1
Cheez-150_432-top-9,1502.1975,2.35,3.715,3.305,287.22,10.9625,10.7425,11.505,773.6825,2.1675,3.195,1.2325,1.8875,3.7925,7.43,3.335,Cheez,0,1
Cheez-150_50-right-0,2944.27,3.845,4.895,6.0025,149.1725,5.4175,5.4675,12.07,43.3275,0.75,1.88,1.395,2.6775,3.1925,10.64,0.94,Cheez,1,0
Cheez-150_50-right-1,3427.75,1.1775,2.67,4.6425,148.085,5.2375,8.415,7.01,44.9425,1.37,1.885,1.7825,1.5375,4.845,11.295,2.4675,Cheez,1,0
Cheez-150_50-right-2,4012.4325,2.2475,3.1675,2.9575,166.19,10.5725,3.6775,7.5125,48.9975,2.65,1.35,1.805,4.2275,5.04,9.0025,1.9425,Cheez,1,0
Cheez-150_50-right-3,3547.4475,2.8575,2.9,2.265,135.0925,4.1425,6.63,10.455,38.7,1.755,1.3675,1.2375,3.115,3.145,7.375,2.245,Cheez,1,0
Cheez-150_50-right-4,3214.735,2.815,7.565,3.1475,134.645,6.2525,6.4475,12.61,32.3825,1.7575,3.065,1.5775,2.7725,2.735,3.4125,1.1875,Cheez,1,0
Cheez-150_50-right-5,3086.1475,2.71,3.44,3.53,155.455,2.4525,6.1475,9.3575,41.6475,1.1125,1.9375,3.11,1.67,5.8675,4.3175,2.1475,Cheez,1,0
Cheez-150_50-right-6,2653.8975,2.45,2.715,3.6025,411.385,9.3375,2.565,5.6275,893.48,1.42,2.535,1.625,5.0275,4.9475,6.52,1.1825,Cheez,1,0
Cheez-150_50-right-7,3060.2375,2.795,4.6225,3.195,759.045,6.69,9.985,11.765,44.065,1.55,1.2125,1.6125,2.2825,2.125,5.63,2.0275,Cheez,1,0
Cheez-150_50-right-8,2970.7175,1.8425,2.63,3.3,672.6475,2.425,4.5575,11.06,35.285,2.245,1.97,1.525,2.615,1.8325,5.6225,1.5625,Cheez,1,0
Cheez-150_50-right-9,2866.0475,1.635,3.08,5.15,744.2875,3.055,6.67,14.605,954.2175,3.035,2.845,3.345,4.7675,3.6,10.1175,1.2675,Cheez,1,0
Cheez-150_50-top-0,3836.2075,3.7825,5.115,5.92,531.035,2.955,4.65,6.865,718.6275,1.8425,5.21,2.14,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-1,2914.5,2.175,1.9425,2.1525,492.55,2.4825,3.2,1.3175,652.55,1.8075,2.05,1.71,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-2,3472.3175,3.545,4.255,5.0975,661.87,2.8375,3.78,3.6975,800.65,2.325,3.0125,2.3475,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-3,2589.78,2.5575,6.215,3.2625,272.975,0.6975,7.5725,1.7,302.905,2.285,1.475,1.29,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-4,3214.34,1.11,3.81,4.1925,451.81,1.91,7.9125,3.9675,1408.485,3.57,4.425,2.07,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-5,3433.2375,1.94,2.3925,2.9875,499.7975,2.055,3.5125,5.1125,760.8625,2.9075,2.0575,4.0075,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-6,3609.355,2.8625,0.725,2.53,458.24,2.5925,2.5,3.6525,1307.155,0.8775,1.92,2.195,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-7,3856.3925,1.8575,2.9925,1.03,497.1375,0.8125,4.5125,3.37,1349.7925,0.9575,1.705,1.65,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-8,3253.465,2.7325,3.945,4.08,484.0275,1.2325,3.2575,4.6625,910.9425,2.21,2.05,1.3525,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_50-top-9,3053.035,2.6725,4.755,3.805,571.2125,2.8425,5.3625,3.6225,802.17,1.1,1.9675,0.78,0.0,0.0,0.0,0.0,Cheez,0,1
Cheez-150_814-right-0,1152.5025,2.1575,3.7075,48.21,1763.22,1.7975,4.5825,5.115,707.345,6.015,2.9225,1.8,8.52,3.685,5.0575,9.1475,Cheez,1,0
Cheez-150_814-right-1,1148.68,1.65,5.705,1.88,816.8,3.13,4.785,2.345,642.995,246.6375,1.6475,1.41,2.6625,2.195,5.3875,1.8625,Cheez,1,0
Cheez-150_814-right-2,2574.6875,3.3875,2.445,2.975,4708.1875,2.7175,4.145,2.595,2792.5525,3.235,3.535,3.15,8.22,4.68,15.365,3.9725,Cheez,1,0
Cheez-150_814-right-3,2129.41,2.99,4.8,2.765,4010.275,1.8,4.0425,4.16,2172.515,1.2075,3.2675,3.0025,18.5925,3.7575,12.5375,24.5525,Cheez,1,0
Cheez-150_814-right-4,2099.6375,6.6425,5.1675,5.07,4666.025,3.8925,5.5475,6.2175,2846.145,1.095,2.5325,1.68,7.0875,4.47,12.0575,4.5925,Cheez,1,0
Cheez-150_814-right-5,2336.3,2.71,3.3275,4.7975,4956.4375,2.3575,3.55,2.8475,2221.0375,1.5025,3.0875,3.15,8.18,6.4125,9.57,3.865,Cheez,1,0
Cheez-150_814-right-6,1469.0375,1.7975,3.715,2.9075,3818.27,4.35,3.53,3.13,2180.2975,3.7925,1.7825,1.24,17.0,5.275,11.5225,42.76,Cheez,1,0
Cheez-150_814-right-7,1868.8875,3.3,3.445,5.5425,4031.5225,0.83,4.64,3.4075,1721.5425,2.3175,2.7925,1.08,7.2625,3.3,13.1,12.2575,Cheez,1,0
Cheez-150_814-right-8,2459.46,2.1025,5.1725,5.34,5582.5525,1.9,2.42,3.9125,1627.47,1.395,0.8275,1.86,10.705,4.7225,8.7675,20.55,Cheez,1,0
Cheez-150_814-right-9,1739.4175,3.7575,5.6175,2.455,4495.71,3.5475,5.0175,1.855,1745.27,1.7275,3.8325,1.385,9.215,5.7225,8.2575,13.065,Cheez,1,0
Cheez-150_814-top-0,23.3775,0.845,2.715,2.53,111.5,17.725,0.78,4.0625,41.675,454.0475,12.81,2.225,2.8575,2.055,11.375,3.51,Cheez,0,1
Cheez-150_814-top-1,563.565,2.6725,4.75,2.105,94.05,0.64,16.3175,5.69,17.23,857.28,9.31,3.92,1.38,2.11,10.205,2.2875,Cheez,0,1
Cheez-150_814-top-2,1075.0725,4.1525,1.63,0.7275,87.665,1.22,11.09,4.5125,338.05,510.7175,8.4125,1.8375,2.0775,2.2825,4.855,2.0225,Cheez,0,1
Cheez-150_814-top-3,1214.545,2.7225,3.1675,3.6775,176.7625,1.0475,2.5725,3.9525,172.175,729.8425,12.2825,1.41,1.965,3.0625,5.5775,1.98,Cheez,0,1
Cheez-150_814-top-4,24.35,2.9975,2.4375,1.1425,1.14,4.3825,1.975,1.8175,65.2825,747.75,16.3025,1.0525,3.2325,3.5675,5.985,2.375,Cheez,0,1
Cheez-150_814-top-5,954.005,2.1975,3.8675,1.4225,235.995,35.5,1.1075,2.875,176.81,652.465,11.46,2.1925,3.8175,4.4125,7.6325,3.375,Cheez,0,1
Cheez-150_814-top-6,1008.86,1.1325,2.2975,1.4875,11.615,8.4175,2.5025,2.5875,88.8775,708.78,16.43,1.32,1.53,2.73,7.975,1.5225,Cheez,0,1
Cheez-150_814-top-7,559.4475,2.4,4.13,3.14,84.01,1.8925,0.98,1.6375,18.0175,1031.4275,23.0825,3.2275,5.15,2.1125,9.74,1.3325,Cheez,0,1
Cheez-150_814-top-8,975.9075,2.3975,3.3425,1.5775,11.17,40.92,1.3975,2.335,76.165,304.7125,8.315,3.1275,0.8675,1.2525,8.425,1.11,Cheez,0,1
Cheez-150_814-top-9,666.07,4.27,5.205,2.95,200.605,49.12,0.5875,2.3125,266.82,836.6225,18.1375,2.9825,1.1525,1.4,8.0025,2.1575,Cheez,0,1
Cheez-50_432-right-0,1039.015,1.94,3.1275,3.4125,15.565,12.6725,13.1675,15.9975,1252.98,2.8,4.41,1.86,1.0125,3.7425,8.7725,2.3375,Cheez,1,0
Cheez-50_432-right-1,86.1425,1.745,4.7525,3.2175,22.6975,24.13,18.995,18.775,100.885,2.175,1.9625,1.8,1.01,4.0475,5.995,2.1875,Cheez,1,0
Cheez-50_432-right-2,776.925,3.2175,3.6225,2.685,15.1075,21.055,14.8525,16.6175,1075.79,3.71,2.88,0.9,1.32,1.5475,1.9625,3.7775,Cheez,1,0
Cheez-50_432-right-3,61.2875,2.705,1.5825,3.9025,21.45,16.87,19.3525,21.2725,25.305,1.91,3.62,1.5,1.205,2.9975,2.0025,3.225,Cheez,1,0
Cheez-50_432-right-4,561.1325,1.4425,7.615,1.1525,19.65,17.57,21.23,15.0175,886.99,1.6925,5.02,2.1375,0.995,2.4125,4.6625,3.47,Cheez,1,0
Cheez-50_432-right-5,52.8475,1.5025,3.13,2.3375,17.82,19.8025,19.33,23.235,29.4525,0.66,2.655,2.13,0.4425,1.815,2.08,2.1275,Cheez,1,0
Cheez-50_432-right-6,551.6625,1.9225,3.0375,4.7625,13.7625,15.2925,19.7225,16.3125,738.1175,2.13,2.48,2.6725,1.3725,2.0525,3.26,4.91,Cheez,1,0
Cheez-50_432-right-7,860.8275,2.8325,4.61,3.1425,13.59,13.1775,15.48,15.9475,558.135,1.6875,2.8725,1.44,1.6925,3.65,2.0175,2.9675,Cheez,1,0
Cheez-50_432-right-8,710.9325,1.4675,2.985,1.685,19.0075,16.9925,19.8375,20.4675,400.345,1.8,2.0125,2.855,2.445,2.5675,5.87,2.425,Cheez,1,0
Cheez-50_432-right-9,587.88,3.555,3.0825,2.765,21.0675,16.1125,15.1925,16.0175,622.6275,1.6825,7.0025,2.3775,2.655,4.38,4.325,2.83,Cheez,1,0
Cheez-50_432-top-0,8.8225,1.6875,4.2725,1.6925,3.285,4.185,2.2925,2.3925,0.6775,1.91,2.32,3.585,1.1275,3.63,7.1825,2.3225,Cheez,0,1
Cheez-50_432-top-1,97.8825,2.435,3.7175,2.145,4.24,3.8675,2.5725,2.5,678.6275,1.4725,2.94,2.1675,1.16,1.54,9.9225,0.9075,Cheez,0,1
Cheez-50_432-top-2,19.16,1.9925,2.1275,1.57,1.3425,0.775,1.255,2.235,68.4575,0.6225,1.31,1.625,1.6575,2.1425,13.3875,0.9,Cheez,0,1
Cheez-50_432-top-3,37.045,0.89,3.57,3.07,2.3025,2.9325,0.83,1.4025,389.3825,1.69,1.5725,1.4725,1.185,2.4625,4.51,0.54,Cheez,0,1
Cheez-50_432-top-4,123.465,1.28,2.4025,2.8025,117.6875,2.9625,2.9525,1.58,1015.1,1.73,2.76,1.2325,1.925,1.9,7.9225,1.955,Cheez,0,1
Cheez-50_432-top-5,14.2525,0.4525,2.935,1.3025,1.815,2.585,1.6575,1.46,16.21,1.21,2.71,3.885,0.7675,2.8675,8.65,0.33,Cheez,0,1
Cheez-50_432-top-6,47.2825,1.8775,2.0325,1.5,2.3575,1.8425,1.595,1.1625,319.3,1.325,1.8775,2.23,3.55,1.7275,7.1625,1.32,Cheez,0,1
Cheez-50_432-top-7,80.4525,0.3275,2.76,3.4825,0.74,5.3775,1.915,1.6025,145.925,2.7325,3.36,3.495,2.59,2.4875,10.225,0.3025,Cheez,0,1
Cheez-50_432-top-8,105.42,2.195,4.5375,3.86,1.135,3.66,1.1325,3.36,160.24,2.2025,1.09,2.0475,1.135,2.125,8.35,1.6975,Cheez,0,1
Cheez-50_432-top-9,56.7275,0.94,1.6225,3.57,1.91,2.8125,2.9575,4.5875,112.09,1.9075,1.485,2.1925,3.7625,2.1725,8.72,0.5675,Cheez,0,1
Cheez-50_50-right-0,837.4975,2.0475,5.75,2.3425,119.3475,6.055,4.855,9.8025,35.52,2.5925,1.3175,2.62,4.5425,4.87,7.04,1.9525,Cheez,1,0
Cheez-50_50-right-1,166.4275,1.0825,2.08,3.33,1.305,1.2625,6.55,1.5275,14.7725,0.98,1.7325,1.365,2.53,5.6025,10.4775,2.7775,Cheez,1,0
Cheez-50_50-right-2,308.58,0.675,5.1975,3.9875,24.7575,3.27,5.93,5.975,25.7175,2.355,1.655,2.3275,2.725,3.7025,4.91,1.49,Cheez,1,0
Cheez-50_50-right-3,255.9975,1.415,2.7725,3.255,3.005,2.7975,7.11,8.5775,32.68,1.37,2.115,1.4075,2.7525,3.215,7.83,1.7175,Cheez,1,0
Cheez-50_50-right-4,138.9925,1.9275,2.7625,2.875,11.74,1.7925,4.325,2.9075,37.64,2.435,1.7325,1.73,4.375,2.71,11.1275,2.2625,Cheez,1,0
Cheez-50_50-right-5,160.5975,3.125,4.8775,3.16,28.5025,2.34,5.505,2.645,20.6925,1.66,0.9825,3.15,2.9025,2.165,11.3175,1.26,Cheez,1,0
Cheez-50_50-right-6,126.9425,1.7725,2.395,4.0275,20.5525,1.5175,4.6875,5.9425,31.715,0.8275,1.9425,2.0175,2.8775,2.9725,11.71,2.02,Cheez,1,0
