,media0,media1,media2,media3,media4,media5,media6,media7,media8,media9,media10,media11,media12,media13,media14,media15,std0,std1,std2,std3,std4,std5,std6,std7,std8,std9,std10,std11,std12,std13,std14,std15,750,751,752,753,754,755,756,757,758,759,7510,7511,7512,7513,7514,7515,max0,max1,max2,max3,max4,max5,max6,max7,max8,max9,max10,max11,max12,max13,max14,max15,media-pos0,media-pos1,media-pos2,media-pos3,media-pos4,media-pos5,media-pos6,media-pos7,std-pos0,std-pos1,std-pos2,std-pos3,std-pos4,std-pos5,std-pos6,std-pos7,75-pos0,75-pos1,75-pos2,75-pos3,75-pos4,75-pos5,75-pos6,75-pos7,max-pos0,max-pos1,max-pos2,max-pos3,max-pos4,max-pos5,max-pos6,max-pos7,Target,Position_right,Position_top
Cheez-100_432-top-0,2304.4575,1.2425,3.07,2.3025,132.285,8.4775,4.1675,4.7875,1954.5475,2.1075,2.75,2.495,3.705,0.6425,12.925,1.1875,3380.5323190429576,9.515516611880711,21.04012397878411,18.729200493556064,237.40202838793556,30.834581597708922,19.270647066091527,22.864805752624868,2697.99953325558,17.976479864556495,18.182519353078185,14.679191792438687,22.517227601263833,8.058662970504452,55.974970910408416,11.087591282651422,5062.75,0.0,0.0,0.0,125.0,0.0,0.0,0.0,4862.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8888.0,114.0,218.0,200.0,1381.0,222.0,168.0,179.0,6781.0,239.0,158.0,121.0,144.0,116.0,306.0,111.0,-15.1675,6.0975,-14.665,7.235,-15.8375,6.615,0.9275,0.02,10.906273918114358,7.805145385334915,11.5982357572911,9.14241403218208,10.092360134413882,8.223797914000947,0.34283756209750865,0.28248805062668897,-2.0,16.0,0.0,19.0,-3.0,17.0,1.0,0.0,2.0,22.0,0.0,21.0,-1.0,19.0,5.0,4.0,Cheez,0,1
Cheez-100_432-top-1,47.2575,2.56,4.615,1.57,15.4875,6.635,7.43,8.135,408.5775,701.8,12.1775,2.225,2.3525,1.3075,7.735,1.7525,136.40317356332122,16.178558786586244,27.863465447910812,14.311609112481785,94.00298530827227,25.556106147132617,28.286045161478498,31.510618411603854,1075.2372164657077,3425.6369248436117,48.897017183808956,13.563713015872228,18.248033333797338,11.252978163306826,43.881759274127745,13.173081223552241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,159.0,236.0,169.0,1276.0,200.0,189.0,200.0,4037.0,18844.0,265.0,133.0,151.0,111.0,306.0,111.0,-17.355,4.92,-17.55,8.18,-17.4275,10.0875,0.995,0.115,11.158865340581068,11.663992532769933,11.21972394998134,17.040938470633016,10.895941795872872,21.55321778161803,0.5055828666872683,0.8447241545280385,-0.75,5.25,0.0,13.0,-1.75,14.0,1.0,0.0,9.0,59.0,6.0,76.0,5.0,86.0,5.0,12.0,Cheez,0,1
Cheez-100_432-top-2,1454.9525,2.6425,5.445,2.9925,437.9225,5.305,3.265,3.9225,1692.7975,1.2875,3.8725,1.8375,2.23,0.9625,9.8875,1.0375,2082.0909218284996,16.019558651801155,34.029796393844585,21.39279254051953,740.4139406457098,24.27137664638689,16.73828547077785,20.039347103406882,2391.138383367808,11.617325396726752,28.823136135606795,14.002903163004461,18.097954023856463,9.621982650437156,50.50655525830449,10.41211429346364,3568.0,0.0,0.0,0.0,526.75,0.0,0.0,0.0,4304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6061.0,159.0,255.0,216.0,2431.0,211.0,146.0,189.0,7363.0,118.0,301.0,157.0,151.0,111.0,306.0,111.0,-15.1425,5.6925,-14.69,9.315,-15.9925,6.1675,0.9175,0.0425,11.010917059274151,7.294928629484524,11.61642170088667,11.808020510268676,9.87629976218227,7.66919063281165,0.41968331538557846,0.41366841054727954,-1.0,15.0,0.0,24.0,-4.0,16.0,1.0,0.0,2.0,18.0,0.0,26.0,-1.0,18.0,5.0,5.0,Cheez,0,1
Cheez-100_432-top-3,217.61,2.055,4.6625,3.7675,160.4925,3.6575,4.315,5.8675,1167.4275,1.8025,4.38,3.1625,1.7025,2.48,11.23,0.58,356.9755197548702,15.29679557578049,29.90358095839572,25.164888690535154,365.9139824468678,18.638365416890302,23.106829920446316,27.235719281155575,1735.925244900675,14.179426437102915,26.66764910470996,19.39656310795808,14.95168471911608,15.649340389824442,53.334684506693904,7.845219478872419,421.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,3548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1540.0,168.0,236.0,216.0,1582.0,200.0,211.0,243.0,5948.0,133.0,319.0,219.0,151.0,111.0,306.0,111.0,-14.9625,2.2875,-14.7975,4.3375,-15.335,7.76,0.9675,0.0475,11.17130650248355,3.0103986446980864,11.703371994433887,5.79028602753798,10.742965291675503,9.635845775515728,0.48168849843421585,0.4536057157525791,-1.0,6.0,0.0,11.0,-2.0,20.0,1.0,0.0,2.0,9.0,1.0,14.0,0.0,22.0,5.0,5.0,Cheez,0,1
Cheez-100_432-top-4,55.98,2.65,4.115,3.4125,21.725,10.895,7.77,7.035,333.835,0.735,10.455,3.29,1.8475,1.97,14.975,2.0475,141.63994593939344,16.380271157951654,25.466903678252358,23.266729368106553,88.4618738939666,32.878282019768434,27.744305112318287,28.864192853303294,872.0950735546487,8.487925966809891,44.20909505082663,19.75935170874472,15.66053558109423,13.78019718968006,63.55393088020471,14.670832528103743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.0,159.0,236.0,200.0,959.0,200.0,189.0,265.0,4560.0,103.0,373.0,145.0,151.0,111.0,306.0,116.0,-17.31,3.5075,-17.4025,6.6875,-17.5575,9.965,0.93,0.08,11.00165856714657,8.457764373372498,11.099255715749951,13.979392056010129,10.71184170120061,20.47307113268578,0.34698847604245475,0.5695709153116253,0.0,4.0,0.0,11.0,-2.0,16.0,1.0,0.0,6.0,46.0,7.0,65.0,5.0,87.0,5.0,5.0,Cheez,0,1
Cheez-100_432-top-5,1016.725,2.355,2.9025,0.955,387.605,4.745,6.005,3.3725,1443.72,1.765,3.5,2.68,2.265,1.8775,3.57,0.8025,1489.0943672115518,14.400778835802473,24.876597567117155,11.585920718580887,608.7326857346385,20.43989844939437,25.023998005724113,17.92685622705404,2050.9172717931274,12.77410346357999,22.73934243190838,16.982302449645335,17.980768757558245,13.509394995070362,28.624176121708963,9.246471588779327,2632.25,0.0,0.0,0.0,671.0,0.0,0.0,0.0,3036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4741.0,105.0,236.0,200.0,1749.0,136.0,168.0,179.0,5746.0,118.0,229.0,182.0,151.0,111.0,306.0,111.0,-15.3875,4.7775,-14.7875,8.81,-15.6775,5.93,0.9425,0.0375,10.701572449047152,6.145111858166057,11.644583916416506,11.3371171628377,10.318899795155309,7.389289817704065,0.5048077129637267,0.3827007966406312,-2.0,12.0,0.0,23.0,-3.0,15.0,1.0,0.0,1.0,15.0,0.0,25.0,-1.0,18.0,5.0,5.0,Cheez,0,1
Cheez-100_432-top-6,1079.9425,1.875,1.585,5.8425,381.2325,9.155,8.78,10.0175,963.56,1.255,2.4025,2.895,1.0625,1.6375,7.77,1.1225,1630.880646583999,12.724352552081939,15.826844205138759,31.36602081719572,549.6749720343394,28.667936819795052,31.104264791513046,33.70946475078543,1319.8013393455656,13.839392941617067,17.552798797172947,17.524318227061123,12.241250519686062,12.606084927247673,44.5400003263658,11.059759919351029,2425.5,0.0,0.0,0.0,745.0,0.0,0.0,0.0,2629.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5564.0,114.0,218.0,216.0,1596.0,189.0,331.0,254.0,3306.0,239.0,176.0,133.0,144.0,116.0,320.0,111.0,-16.095,5.3275,-14.8425,7.55,-16.0225,6.5675,0.96,0.045,10.038321310699436,6.837919024928469,11.760461934476941,9.958686589932016,10.171560615923601,8.175422777690773,0.4345942710749031,0.42829147079985364,-4.0,14.0,0.0,20.0,-3.0,17.0,1.0,0.0,1.0,17.0,1.0,23.0,-1.0,19.0,5.0,5.0,Cheez,0,1
Cheez-100_432-top-7,1206.47,0.43,5.2075,4.4975,159.82,3.575,3.21,2.62,1187.355,2.5,3.11,2.015,1.0975,2.37,10.5625,0.645,2071.918628011902,4.498409632643275,31.281396358624292,27.65586938660269,432.22859866482787,17.494986750595388,21.606550106826447,15.696226579087615,1705.7553333106619,15.36963122230896,22.490719890723945,14.588929610081719,12.644274908824212,15.333325705566276,49.660007900842906,7.534646790370364,1279.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,2751.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6241.0,61.0,236.0,200.0,2155.0,136.0,243.0,157.0,4959.0,118.0,265.0,157.0,151.0,116.0,320.0,105.0,-14.675,2.8775,-14.5325,2.815,-15.225,7.415,1.0325,0.0425,11.502179154981201,3.750020050071714,11.850528736234596,3.7067675019190336,10.882345270964851,9.216840585360023,0.6500000000000012,0.40136827381853624,0.0,7.0,0.0,7.0,-2.0,19.0,1.0,0.0,3.0,11.0,2.0,9.0,0.0,22.0,5.0,4.0,Cheez,0,1
Cheez-100_432-top-8,194.8625,2.47,2.4475,4.845,18.0575,3.4725,3.65,4.275,293.655,1.025,2.7075,3.405,1.115,3.1025,6.9375,1.3275,609.4055269970709,16.149182339225955,21.152442134909,27.16746496974291,72.91547063823931,18.815133986163683,21.604847223687965,23.957447134095037,686.3142750850142,8.77649943632936,18.17147351963205,19.06238209216172,12.456109410812594,18.329400181881805,40.80319651528127,11.775691530758069,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3199.0,132.0,292.0,200.0,487.0,200.0,298.0,243.0,3143.0,118.0,176.0,170.0,144.0,116.0,306.0,111.0,-17.515,2.0225,-17.655,2.72,-17.72,5.545,0.9675,0.04,10.699344134678487,3.7752649328600776,10.777586274986943,4.8098270332960595,10.377419094730099,9.273238775826034,0.3765610781985241,0.3857096444536523,0.0,3.25,0.0,4.25,-2.0,18.0,1.0,0.0,8.0,21.0,6.0,23.0,6.0,42.0,5.0,5.0,Cheez,0,1
Cheez-100_432-top-9,112.5975,1.5625,4.1725,2.685,60.245,13.17,13.2975,13.03,492.075,1.465,3.59,2.1325,2.0325,1.405,4.4625,2.5125,281.67500335055007,11.030651927918278,29.17706284464887,18.59071843770633,213.35904052896223,36.859294879956856,35.98905422221477,36.824029149551556,1084.0606870965687,11.155711530394273,21.819305792420604,13.547463902719644,20.13093589976621,11.37274475701762,30.923360576161567,15.862657517224813,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371.0,123.0,236.0,216.0,1302.0,342.0,342.0,232.0,4388.0,118.0,229.0,157.0,310.0,111.0,306.0,111.0,-17.6475,2.695,-17.7925,5.59,-17.96,6.765,1.0325,0.0575,10.759771161070141,5.522519402535275,11.060528104701335,10.922460820526588,10.024201291316013,13.3352670903483,0.6838221859188905,0.4740840000440254,-2.0,4.0,-0.75,15.0,-3.0,15.0,1.0,0.0,5.0,32.0,7.0,52.0,5.0,74.0,5.0,5.0,Cheez,0,1
Cheez-100_50-right-0,1180.245,3.1675,2.76,0.84,143.285,4.6425,4.285,14.945,29.8975,1.655,1.57,0.7725,3.8925,5.1225,11.33,2.21,2118.9191539384724,21.019848449074196,21.54909065994839,10.173157466199022,241.50165921481346,26.65945442099403,45.19857356854948,100.26569702545359,44.98651420036654,11.103341184691226,9.370678954064635,6.27608291787005,21.315530096816026,22.123995382371582,51.22441754067052,13.264265975910565,878.25,0.0,0.0,0.0,256.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7593.0,232.0,236.0,185.0,1302.0,264.0,626.0,925.0,211.0,94.0,94.0,72.0,137.0,215.0,306.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-1,1582.425,2.28,3.9,4.3525,110.1875,23.975,3.0025,7.915,39.765,1.8875,2.3275,1.66,2.4225,6.2875,11.06,1.495,2572.908244859515,16.959382407065107,27.459699337744116,28.802990720341636,173.0430642903595,220.37615228567887,26.27886871809286,60.15933542766012,54.86958587080891,11.070285534009917,13.38387327755966,11.191627733637276,17.33566575062938,22.12348220584363,50.31625695822094,11.281762735763705,2986.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7696.0,232.0,348.0,407.0,657.0,2852.0,435.0,795.0,232.0,94.0,189.0,94.0,137.0,105.0,306.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-2,1133.835,2.485,3.03,2.37,90.5675,23.6,11.4375,1.485,41.1925,2.13,2.7175,1.3225,2.6075,3.535,6.1525,2.6125,1975.4171838882535,14.627703143286698,21.919860874373388,16.479898897419574,157.46761752873212,222.3897659966638,71.33138516827682,16.377739492286217,58.67454472978969,13.336519669397703,14.081313939247314,9.582434522523293,18.189849375427823,17.858221220572542,38.26008139459188,15.205768057073378,1228.5,0.0,0.0,0.0,143.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6930.0,105.0,218.0,185.0,744.0,2811.0,641.0,257.0,200.0,157.0,94.0,94.0,137.0,111.0,292.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-3,1060.455,1.625,6.4825,5.64,98.115,13.875,7.435,8.54,27.3025,1.06,1.985,1.245,3.0675,3.9125,13.79,3.0375,1781.291676865457,15.183402592492708,44.947139030393956,35.93987460281615,157.6954546460992,118.11669339320909,56.82987649252239,65.24615737828235,39.91521080847157,8.020112562413585,11.409654927468626,10.092304569761147,18.606543267919296,17.6952719780155,56.09990104486017,16.128434820974974,1502.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5708.0,232.0,479.0,407.0,882.0,1739.0,611.0,869.0,179.0,94.0,83.0,125.0,137.0,111.0,306.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
Cheez-100_50-right-4,1517.0125,1.725,7.085,4.8925,95.3025,29.775,4.8375,5.2875,25.4325,1.81,1.4675,2.4175,3.02,3.935,10.1125,1.1775,2626.908986699902,10.982755907252743,38.214245988783254,29.547819341189083,161.69796403381716,246.58655010306106,39.66692268930212,42.67960538171407,37.16582691769682,11.382565924146673,9.035654452138258,13.991160609040643,17.77708248431489,18.62587132745106,47.97362311768424,9.830441888302818,1228.5,0.0,0.0,0.0,132.0,0.0,0.0,0.0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8009.0,105.0,348.0,279.0,525.0,2852.0,435.0,468.0,211.0,94.0,83.0,94.0,137.0,111.0,320.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheez,1,0
